,origin_cluster,ted,origin_ride_count,origin_lat,origin_lng
0,0,0.9659460319878883,26,-23.534653884615388,-46.66864942307692
1,1,0.9979365115768717,274,-23.56113775182482,-46.66111846715329
2,2,0.9327433363984231,14,-23.527479785714288,-46.66668928571429
3,3,1.0404642294420736,154,-23.559235142857144,-46.67795252597403
4,4,1.0563406733080152,36,-23.56750688888889,-46.686364805555556
5,5,1.0591025697620073,128,-23.497764203125,-46.6378585078125
6,6,1.048215816620634,157,-23.584893070063693,-46.67952998726115
7,7,0.9830254865221136,16,-23.6026419375,-46.670129375
8,8,1.0049121629185334,63,-23.59333650793651,-46.675188000000006
9,9,0.9634788911168268,14,-23.517666,-46.66683871428571
10,10,0.9882853359307787,59,-23.542901576271188,-46.65529086440678
11,11,0.9763288679743606,55,-23.57152785454545,-46.657060854545456
12,12,0.9804522093943272,41,-23.556917658536584,-46.652362707317074
13,13,1.0938805871226407,12,-23.54734716666667,-46.692666
14,14,1.0450000015031395,16,-23.5235100625,-46.6537148125
15,15,1.0235144662971003,12,-23.5824385,-46.66529524999999
16,16,0.9447715017316427,24,-23.596038916666668,-46.685666
17,17,0.9251254295530544,27,-23.5711397037037,-46.69272625925925
18,18,1.019666650235729,29,-23.54718320689655,-46.64420251724138
19,19,1.1785822179519234,12,-23.57948958333333,-46.69051825
20,20,1.0266032117221076,15,-23.532131866666667,-46.6826956
21,21,1.0548308609717645,20,-23.5630778,-46.692160799999996
22,22,1.054140082932628,18,-23.53622916666667,-46.656223555555556
23,23,1.063675850738469,18,-23.582857722222222,-46.687558277777775
24,24,0.9847122995586989,17,-23.56918617647059,-46.64415617647059
25,25,0.9630895064007281,13,-23.57326176923077,-46.66764838461539
26,26,1.0824111034600226,12,-23.55699316666667,-46.69076008333334
27,27,1.125354386870836,11,-23.564164727272725,-46.643832454545446
28,28,1.0315065692248895,13,-23.601294,-46.60289284615385
29,29,0.8742894957998167,14,-23.549935642857143,-46.680942214285714
30,30,1.0418980357385466,11,-23.599763454545453,-46.675914545454546
31,31,0.9143082110228149,3,-23.552789333333333,-46.682749
